"","month","year","sum"
"439",2,2006,26.4
"440",2,2007,31
"441",2,2008,38.3
"442",2,2010,33.6
"443",2,2011,23.9
"444",2,2012,11.1
"445",2,2013,13.5
"446",3,1990,24.7
"447",3,1991,9.1
"448",3,1992,7
"449",3,1993,9.2
"450",3,1994,42.5
"451",3,1995,14
"452",3,1996,14.3
"453",3,1997,34.7
"454",3,1998,49
"455",3,1999,17.1
"456",3,2000,30.6
"457",3,2001,40.6
"458",3,2002,29.2
"459",3,2004,26.6
"460",3,2005,41.4
"461",3,2006,28.9
"462",3,2007,13.7
"463",3,2008,9.2
"464",3,2009,20.9
"465",3,2010,7.9
"466",3,2011,51.2
"467",3,2012,66
"468",3,2013,24.8
"469",4,1990,33.3
"470",4,1991,9.1
"471",4,1992,46.8
"472",4,1993,111.5
"473",4,1995,6.1
"474",4,1996,24
"475",4,1997,48.1
"476",4,1998,52
"477",4,2000,23.7
"478",4,2002,5.6
"479",4,2003,5.9
"480",4,2004,56.1
"481",4,2005,16.1
"482",4,2006,40
"483",4,2007,60.7
"484",4,2008,15.1
"485",4,2009,19.2
"486",4,2010,5.8
"487",4,2011,12.1
"488",4,2012,21.4
"489",4,2013,31.6
"490",5,1990,48.1
"491",5,1991,39.1
"492",5,1992,27.4
"493",5,1993,10.9
"494",5,1994,53.2
"495",5,1995,21.7
"496",5,1996,54.6
"497",5,1997,77.3
"498",5,1999,86.7
"499",5,2000,24
"500",5,2001,51.5
"501",5,2002,13.3
"502",5,2003,25.3
"503",5,2004,14
"504",5,2006,36.9
"505",5,2007,5.9
"506",5,2010,10
"507",5,2011,30.6
"508",5,2012,6.5
"509",6,1990,75.1
"510",6,1991,14.2
"511",6,1993,58.8
"512",6,1994,92.3
"513",6,1996,58.5
"514",6,1997,98
"515",6,1999,35.3
"516",6,2000,70.6
"517",6,2001,24.4
"518",6,2002,38.2
"519",6,2003,57.6
"520",6,2004,70.2
"521",6,2005,38.8
"522",6,2006,26.4
"523",6,2007,39.3
"524",6,2008,40.3
"525",6,2009,16.2
"526",6,2011,126.7
"527",6,2012,36.3
"528",7,1990,57.4
"529",7,1991,52
"530",7,1992,36.2
"531",7,1993,107.1
"532",7,1994,22.5
"533",7,1995,60.6
"534",7,1996,20.4
"535",7,1997,43.5
"536",7,1998,40.9
"537",7,1999,10.6
"538",7,2000,19.2
"539",7,2001,39
"540",7,2002,18
"541",7,2003,62.8
"542",7,2004,84.4
"543",7,2005,13.7
"544",7,2006,43
"545",7,2007,107.4
"546",7,2008,29.4
"547",7,2009,26.3
"548",7,2012,41.8
"549",7,2013,32
"550",8,1990,72.6
"551",8,1991,35.1
"552",8,1992,28
"553",8,1993,103
"554",8,1994,50.4
"555",8,1995,32.7
"556",8,1996,5.7
"557",8,1998,13.7
"558",8,1999,17
"559",8,2000,60
"560",8,2001,36.5
"561",8,2003,39.8
"562",8,2004,6.1
"563",8,2006,91.6
"564",8,2007,5.4
"565",8,2009,47
"566",8,2010,23.1
"567",8,2011,61.8
"568",8,2012,70.6
"569",8,2013,54.6
"570",9,1990,44.9
"571",9,1991,8.1
"572",9,1993,94.6
"573",9,1994,7.2
"574",9,1995,10.6
"575",9,1996,24.9
"576",9,1997,40.1
"577",9,1998,5.1
"578",9,1999,30.4
"579",9,2000,44.2
"580",9,2001,28.1
"581",9,2002,21.7
"582",9,2004,32.5
"583",9,2005,8.9
"584",9,2006,16.9
"585",9,2007,39.6
"586",9,2008,65.4
"587",9,2009,20.9
"588",9,2010,25.7
"589",9,2011,165.5
"590",9,2012,14.3
"591",9,2013,115.6
"592",10,1990,72.2
"593",10,1991,25.1
"594",10,1992,52
"595",10,1993,17.2
"596",10,1994,48.1
"597",10,1995,5.2
"598",10,1997,35.2
"599",10,1998,47.1
"600",10,1999,44.6
"601",10,2000,6.1
"602",10,2001,57.6
"603",10,2002,93.9
"604",10,2003,53.4
"605",10,2004,66.8
"606",10,2005,26.2
"607",10,2006,46
"608",10,2007,5.7
"609",10,2009,57.6
"610",10,2010,47.5
"611",10,2011,25.1
"612",10,2012,43.2
"613",10,2013,26.1
"614",11,1990,131.4
"615",11,1991,18.6
"616",11,1992,40
"617",11,1994,36.4
"618",11,1995,16.8
"619",11,1996,26.1
"620",11,1997,35.2
"621",11,1998,74.2
"622",11,1999,16.6
"623",11,2001,45.5
"624",11,2002,27.4
"625",11,2003,6.1
"626",11,2004,58.2
"627",11,2006,38.3
"628",11,2007,50.6
"629",11,2008,32.6
"630",11,2009,20.5
"631",11,2010,71.5
"632",11,2011,21.3
"633",11,2012,21.1
"634",11,2013,7.6
"635",12,1990,13.8
"636",12,1991,15.6
"637",12,1993,52.3
"638",12,1994,19.8
"639",12,1995,59
"640",12,1996,20
"641",12,1997,34
"642",12,1998,32.9
"643",12,1999,48.5
"644",12,2000,67
"645",12,2001,34.4
"646",12,2002,37.3
"647",12,2003,9.4
"648",12,2004,14.1
"649",12,2005,43.3
"650",12,2006,18.7
"651",12,2007,9.1
"652",12,2008,5.1
"653",12,2009,26.4
"654",12,2010,32.2
"655",12,2011,25.1
"656",12,2012,34.1
"657",12,2013,65.9
"658",1,1990,14.1
"659",1,1991,18.3
"660",1,1992,12
"661",1,1993,13.9
"662",1,1995,51.3
"663",1,1997,25.1
"664",1,1998,5.3
"665",1,1999,28.9
"666",1,2000,30.2
"667",1,2001,31.1
"668",1,2002,14.8
"669",1,2003,22.9
"670",1,2004,11.5
"671",1,2006,5.3
"672",1,2007,40.3
"673",1,2008,20.3
"674",1,2010,13.8
"675",1,2011,18.6
"676",1,2012,20.4
"677",1,2013,22.8
"678",1,2014,35.1
"679",1,2015,18.6
"680",2,1990,39
"681",2,1991,41.4
"682",2,1992,22.3
"683",2,1993,12.4
"684",2,1994,6.3
"685",2,1995,18.9
"686",2,1996,15.9
"687",2,1997,7.2
"688",2,1998,8
"689",2,1999,22.7
"690",2,2001,30.5
"691",2,2002,13.8
"692",2,2003,8.8
"693",2,2004,17.6
"694",2,2005,9.5
"695",2,2006,12.2
"696",2,2007,29.5
"697",2,2008,16.6
"698",2,2010,33.2
"699",2,2011,5.9
"700",2,2014,21.4
"701",2,2015,5.1
"702",3,1990,13.5
"703",3,1991,5.9
"704",3,1993,12.1
"705",3,1994,21.5
"706",3,1995,12.9
"707",3,1996,14.1
"708",3,1997,15.8
"709",3,1998,22.5
"710",3,1999,25.8
"711",3,2000,16.2
"712",3,2001,20.7
"713",3,2002,18
"714",3,2004,12.8
"715",3,2005,14.2
"716",3,2006,23.8
"717",3,2007,11.9
"718",3,2008,5.3
"719",3,2009,16.5
"720",3,2010,13
"721",3,2011,24.1
"722",3,2012,27.9
"723",3,2013,8.2
"724",3,2014,6.1
"725",4,1990,17.4
"726",4,1991,19
"727",4,1992,41.3
"728",4,1993,67.8
"729",4,1996,23.8
"730",4,1997,50.8
"731",4,1998,37.3
"732",4,2000,14.8
"733",4,2001,6.4
"734",4,2003,7.1
"735",4,2004,7.6
